Puchitto Cluster,Puzzle,Ullucus Heaven,Ullucus Heaven,"April 2, 2020",[687]
Puddle Knights,"Puzzle, fighting",Lockpickle,Lockpickle,"October 8, 2020",[688]
Pulstario,Action,Fred Wood,Mokuzai Studio,"December 23, 2019",[689]
Pumped BMX Pro,"Arcade, racing","Yeah, Us!",Curve Digital,"February 7, 2019",
Pumpkin Jack,Platformer,Nicolas Meyssonnier,Headup Games,"October 23, 2020",[690][691]
Punch Club,Sporting management simulation,Lazy Bear Games,TinyBuild,"May 24, 2018",
PuPaiPo Space Deluxe,Shoot 'em up,BolHut,BolHut,"January 23, 2020",[159][427]
Pui Pui Molcar Let's! Molcar Party!,Party,Bandai Namco Studios,Bandai Namco Entertainment,"December 16, 2021",[692]
Pups & Purrs: Animal Hospital,Simulation,Nippon Columbia,Aksys Games,"July 2, 2020",[693]
"Pure / Electric Love ""What do you want?"" - Eri Kitami -",Simulation,Dorasu,Dorasu,"March 29, 2018",[694]
Pure Pool,"Sports, simulation",VooFoo Studios,Ripstone,"November 17, 2020",
Putty Pals,Puzzle,Harmonious Games,Harmonious Games,"October 18, 2017",[695]
Puyo Puyo Champions,Puzzle,Sonic Team,Sega,"May 7, 2019",
Puyo Puyo Tetris,Puzzle,Sonic Team,Sega,"March 3, 2017",
Puyo Puyo Tetris 2,Puzzle,Sonic Team,Sega,"December 8, 2020",
Puzzle Adventure Blockle,Puzzle,Intense,Intense,"August 3, 2017",[696]
Puzzle Box Maker,Puzzle,Bplus,Bplus,"December 21, 2017",[697]
Puzzle & Dragons Gold,Puzzle,GungHo Online Entertainment,GungHo Online Entertainment,"January 15, 2020",
Puzzle Puppers,Puzzle,Cardboard Keep,Cardboard Keep,"February 20, 2018",[698]
Puzzle Quest: The Legend Returns,"Tile-matching, role-playing",Infinity Plus 2,D3 Publisher,"September 19, 2019",
